42248,140,0,
40990,223,0,
34984,88,0,
29412,353,0,
21879,140,1,
21254,88,1,
20171,223,1,
19708,2244,0,
17983,3562,0,
17652,561,0,
17356,353,1,
15144,177,,
14890,140,4,
14812,250,,
14634,1413,0,
14121,223,8,
13934,223,4,
13294,223,,
12382,890,0,
11966,561,1,
11896,140,2,
11297,5654,0,
11168,353,8,
11097,223,2,
11089,88,4,
10755,140,8,
10645,2244,1,
10526,3562,1,
10479,3562,8,
10325,2518,,
10177,88,2,
9718,353,2,
9649,353,4,
7904,5654,8,
7747,1413,1,
7703,561,2,
7518,70,,
7333,125,,
7076,79,,
7064,2244,8,
6977,2244,,
6965,890,1,
6906,5654,1,
6813,397,,
6713,88,,
6298,561,8,
6224,140,,
6066,353,,
5973,561,4,
5894,2827,,
5875,280,,
5831,3562,4,
5826,500,,
5786,157,,
5620,1587,,
5443,62,,
5269,5654,4,
5230,1413,,
4648,445,,
4309,3562,16,
4283,8975,0,
4096,3173,,
3855,707,,
3828,99,,
3790,890,4,
3780,999,,
3687,2244,4,
3671,561,,
3518,5654,16,
3486,1259,,
3428,198,,
3419,315,,
3402,111,,
3390,353,16,
3378,793,,
3370,3562,2,
3370,8975,8,
3365,890,2,
3275,223,16,
3252,1781,,
3126,1122,,
3041,2244,2,
2921,56,,
2919,1999,,
2794,5037,,
2772,890,,
2701,8975,1,
2643,2244,16,
2613,50,,
2599,3562,,
2598,5654,,
2580,630,,
2539,1413,4,
2418,1413,2,
2373,5654,2,
2256,4487,,
2104,890,8,
2081,561,16,
2058,8975,4,
1975,3998,,
1453,8975,16,
1364,1413,8,
1301,7123,,
1288,6346,,
1254,8975,,
962,8975,2,
881,7996,,
801,890,16,
756,250,0, 1
739,3562,31,
728,280,0, 1
724,223,0, 1
696,1413,16,
684,10074,,
666,5654,31,
642,315,0, 1
638,198,0, 1
591,223,0, 2
590,14247,0,
575,250,0, 2
542,353,0, 1
539,223,1, 1
532,250,1, 1
525,198,1, 1
520,445,2, 1
508,280,1, 1
506,397,1, 1
505,177,0, 1
498,500,2, 1
493,353,1, 1
492,445,1, 1
490,198,0, 2
489,2244,31,
489,315,1, 1
485,561,31,
483,177,1, 1
475,223,0,-1
461,14247,8,
458,397,0, 1
454,250,1, 2
453,397,2, 1
441,198,0,-1
436,250,0,-1
429,500,1, 1
427,223,4, 2
422,223,4, 1
417,157,1, 1
401,223,1, 2
401,198,4, 1
396,250,4, 1
386,3562,250,
386,445,0, 1
385,561,2, 1
383,198,0,-2
377,445,2, 2
375,3562,125,
375,198,2,-1
375,14247,1,
371,500,2, 2
369,157,0, 1
368,445,4, 1
368,353,2, 0.5
364,280,0, 2
363,250,4, 2
362,445,4, 2
362,315,2, 0.5
361,223,2, 1
358,223,2,-1
357,353,2, 1
356,397,2, 0.5
355,280,0,-1
355,198,2, 1
350,177,2,-1
348,2244,125,
347,223,0,-2
346,280,4, 1
342,397,4, 1
340,280,2, 0.5
339,280,1, 2
338,177,0,-1
336,500,4, 1
336,250,2, 1
333,198,1,-1
332,198,1, 2
331,177,4, 1
330,445,2, 0.5
329,177,0, 2
328,8975,31,
326,223,1,-1
325,223,2, 2
324,140,1, 1
323,250,2,-1
322,561,1, 1
318,177,1,-1
317,890,31,
314,5654,125,
313,500,4, 2
312,500,0, 1
309,397,2, 2
308,177,2, 1
307,250,2, 0.5
306,445,4,-2
306,280,2, 1
302,315,4, 1
301,353,4, 1
301,315,2, 1
297,157,2,-1
297,250,1,-1
297,445,2,-2
296,177,0,-2
294,500,1, 2
293,500,2, 0.5
292,280,2,-1
291,157,1,-1
290,397,4,-1
290,397,4, 2
285,223,4,-1
285,353,4,-1
282,3562,63,
282,198,4,-1
281,445,4,-1
280,198,4, 2
279,250,4,-1
278,315,4,-1
278,223,2,-2
277,177,1, 2
277,397,2,-2
277,280,4,-1
271,250,2, 2
270,315,2,-1
269,223,2, 0.5
265,280,1,-1
262,445,1, 2
261,315,0,-1
261,140,0, 1
260,250,0,-2
259,5654,63,
258,198,2,-2
257,177,4,-1
257,353,2,-1
253,5654,250,
253,353,4, 0.5
253,397,1, 2
253,353,1, 2
251,397,4,-2
250,561,2, 0.5
250,157,4, 1
250,561,4, 1
249,198,2, 2
249,315,4, 0.5
248,157,1,-2
248,157,2, 1
244,500,4,-2
244,397,2,-1
243,397,4, 0.5
243,177,1,-2
242,630,2, 1
242,140,2,-1
238,315,1,-1
238,223,4,-2
237,500,4,-1
237,1413,31,
237,157,0,-2
236,157,0,-1
236,140,1,-1
232,280,4, 0.5
232,198,2, 0.5
231,198,1,-2
229,561,0, 1
228,2244,63,
228,397,1,-1
227,500,2,-2
227,353,1,-1
226,445,2,-1
225,157,4,-1
223,125,1, 1
223,445,1,-1
222,445,4, 0.5
220,250,2,-2
217,198,4,-2
215,14247,4,
214,353,2, 2
214,14247,16,
212,250,4, 0.5
209,500,0, 2
209,561,2, 2
205,397,1,-2
205,315,1, 2
204,353,2,-2
203,630,2, 0.5
201,353,0,-1
201,561,1, 2
200,630,1, 1
199,500,1,-1
197,223,1,-2
196,177,8, 1
196,140,4,-1
196,177,2, 0.5
195,500,4, 0.5
195,157,8, 1
195,890,63,
194,223,1, 0.5
193,445,1,-2
193,198,0, 0.5
193,198,1, 0.5
192,500,2,-1
192,223,0, 0.5
192,250,1, 0.5
192,125,2,-1
191,140,4, 1
191,198,8, 1
189,223,4, 0.5
189,280,1, 0.5
188,315,2,-0.5
186,140,2, 1
186,280,2,-0.5
185,353,4, 2
184,125,0, 1
184,315,1, 0.5
183,353,2,-0.5
183,177,1, 0.5
180,250,0, 0.5
180,397,8,-1
180,223,8, 1
179,353,1, 0.5
179,353,8,-1
179,280,4, 2
179,177,0, 0.5
178,250,2,-0.5
178,397,0,-1
178,250,8,-1
178,223,8,-1
178,250,1,-2
177,280,8,-1
177,140,8, 1
177,353,4,-2
176,315,8,-1
176,250,4,-2
174,397,8, 1
174,125,4,-1
173,397,1, 0.5
172,315,4,-0.5
172,1413,63,
172,397,2,-0.5
171,198,8,-1
170,280,0,-2
170,353,4,-0.5
169,198,4, 0.5
169,445,8,-1
169,280,4,-0.5
168,561,4,-1
167,445,1, 0.5
167,397,8, 2
167,500,1,-2
167,223,2,-0.5
167,353,8, 1
166,157,1, 2
166,561,4, 0.5
166,250,8, 1
165,445,8, 1
165,140,1,-2
164,445,0,-1
164,445,0, 2
164,561,4, 2
163,397,4,-0.5
162,315,0, 2
162,157,1, 0.5
162,280,0, 0.5
161,157,2, 0.5
161,353,1,-2
161,250,4,-0.5
160,315,8, 1
160,280,2, 2
160,500,1, 0.5
159,280,8, 1
159,125,1,-1
158,561,1,-1
158,140,0,-1
158,445,2,-0.5
156,111,4,-1
156,445,8, 2
156,707,2, 0.5
154,177,8,-1
154,561,0, 2
153,125,4, 1
152,198,2,-0.5
152,111,2,-1
152,630,4, 1
151,177,4, 0.5
151,445,4,-0.5
150,223,4,-0.5
148,157,0, 0.5
148,111,1, 1
148,561,1, 0.5
147,353,0, 2
147,2518,0, 1
146,2244,0, 1
146,157,8, 2
146,397,8,-2
145,125,8, 1
144,630,0, 1
143,177,2, 2
142,500,0,-1
141,561,2,-1
141,500,2,-0.5
141,500,8,-1
141,223,8,-2
140,445,8,-2
139,177,2,-2
139,315,0, 0.5
138,8975,125,
138,111,0, 1
137,140,0,-2
137,198,4,-0.5
137,353,8, 2
137,99,4,-1
137,8975,63,
136,630,4, 0.5
136,280,2,-2
136,500,8, 1
136,500,4,-0.5
135,2244,1, 1
135,250,8,-2
134,157,4, 0.5
134,353,8, 0.5
134,177,2,-0.5
134,177,8, 2
133,157,8,-1
133,315,8, 0.5
132,140,1, 0.5
132,157,0, 2
132,630,1, 0.5
131,397,8, 0.5
130,280,1,-2
130,140,2, 0.5
130,280,8, 0.5
129,707,2, 1
128,125,2, 1
127,353,8,-2
127,397,0, 2
127,2827,0, 1
127,250,8, 0.5
127,250,8, 2
126,2244,8,-1
126,2518,1, 1
125,198,8,-2
124,630,1, 2
124,223,8, 0.5
124,500,0,-2
123,2827,0,-1
123,14247,2,
122,561,2,-0.5
122,353,1,-0.5
122,445,8, 0.5
122,2518,0,-1
122,198,8, 2
122,315,1,-0.5
122,140,4, 2
122,177,4,-0.5
121,99,2,-1
121,198,8, 0.5
121,1999,0, 1
121,353,8,-0.5
120,1999,1, 1
120,111,4, 1
120,140,8, 2
119,177,4, 2
119,397,8,-0.5
119,2518,8, 1
118,177,8, 0.5
118,315,8,-0.5
118,140,4, 0.5
118,280,4,-2
117,561,4,-0.5
117,2518,8,-1
117,397,1,-0.5
117,223,8, 2
116,353,0, 0.5
116,630,2, 2
116,2244,8, 1
116,125,1,-2
116,445,0,-2
115,157,8, 0.5
114,280,1,-0.5
114,500,8,-2
113,397,0,-2
113,157,2, 2
113,793,2, 0.5
113,445,8,-0.5
113,500,8, 2
113,99,0, 1
112,280,8,-0.5
112,157,2,-0.5
112,561,0,-1
112,561,2,-2
111,88,4,-1
111,140,8,-1
111,707,1, 0.5
111,2244,8,-0.5
111,177,8,-2
110,500,8, 0.5
110,140,8, 0.5
110,111,8, 1
109,2827,8, 1
109,445,1,-0.5
109,707,4, 0.5
109,630,1,-1
108,140,0, 0.5
108,177,4,-2
107,1999,8,-0.5
107,2518,8,-0.5
107,561,8,-1
106,1999,8,-1
106,353,0,-2
106,250,8,-0.5
105,3173,0,-1
105,630,4,-1
104,157,4,-0.5
