26820,3173,,
21710,5654,,
20961,6346,,
18413,2827,,
17595,1781,,
16451,2244,8,
15165,3562,8,
13942,2244,4,
13850,3562,,
13743,1587,,
13462,1413,8,
13221,62,,
13166,3562,4,
13158,88,1,
12588,353,4,
11754,5654,8,
11718,223,4,
11546,1413,,
11466,561,4,
11046,2518,,
10991,4487,,
10897,1413,4,
10659,70,,
10480,56,,
10471,140,1,
10171,3998,,
9664,2244,,
9585,5037,,
9413,50,,
9290,5654,4,
9254,1999,,
8897,88,0,
8649,890,4,
8504,561,1,
8426,890,8,
8366,140,4,
8089,22615,,
8035,7123,,
7828,8975,8,
7575,353,1,
7447,353,2,
7234,223,1,
7190,11308,,
7145,223,2,
7111,88,2,
7046,561,2,
7015,1259,,
6887,140,0,
6812,2244,16,
6809,561,8,
6757,1122,,
6601,140,2,
6600,3562,16,
6237,890,,
6222,88,4,
5832,79,,
5830,223,0,
5660,353,8,
5614,890,1,
5489,7996,,
5326,1413,16,
5323,445,,
5163,14247,8,
5054,999,,
5044,140,,
4993,5654,16,
4971,397,,
4941,3562,0,
4874,88,,
4862,353,0,
4809,8975,4,
4777,8975,1,
4671,890,2,
4655,561,,
4584,2244,0,
4515,561,0,
4491,125,,
4337,500,,
4302,5654,0,
4280,3562,31,
4203,10074,,
4135,8975,,
4122,2244,31,
4052,223,8,
4042,890,0,
3973,99,,
3934,1413,0,
3886,14247,1,
3637,177,,
3588,5654,1,
3552,12692,,
3480,630,,
3389,157,,
3352,1413,1,
3306,793,,
3277,8975,16,
3125,890,16,
3086,2244,1,
3023,111,,
2942,1413,2,
2869,3562,250,
2850,707,,
2805,5654,31,
2746,3562,1,
2723,14247,,
2676,20148,,
2675,198,,
2611,8975,0,
2537,5654,2,
2428,1413,31,
2418,8975,2,
2414,5654,250,
2406,223,,
2360,140,8,
2317,3562,2,
2317,280,,
2283,2244,2,
2278,22615,8,
2180,3562,63,
2164,14247,2,
2131,14247,16,
2096,14247,4,
2048,2244,63,
1954,561,16,
1917,353,,
1763,3562,125,
1756,5654,63,
1707,8975,31,
1582,22615,1,
1552,250,,
1552,315,,
1524,14247,0,
1521,5654,125,
1520,2244,125,
1432,353,16,
1404,1413,63,
1271,890,31,
1255,14247,31,
1185,15991,,
1173,8975,250,
1137,8975,63,
1103,22615,2,
997,8975,500,
975,22615,16,
927,223,16,
913,8975,125,
906,22615,0,
893,17950,,
813,561,31,
767,14247,63,
737,890,63,
622,22615,4,
576,22615,31,
481,14247,250,
474,14247,125,
422,14247,500,
414,62,2,-1
387,56,2,-1
382,3998,2,-1
376,3562,2,-1
375,70,2,-1
361,4487,2,-1
340,3173,2,-1
329,22615,63,
321,5037,2,-1
298,50,2,-1
297,79,2,-1
292,2827,2,-1
292,14247,1000,
269,5654,2,-1
259,22615,125,
253,70,2,-0.5
252,79,2,-0.5
250,2518,2,-1
245,62,2,-0.5
240,88,2,-0.5
236,56,1, 1
228,62,1, 1
227,56,2,-0.5
226,88,2,-1
220,62,4,-1
220,99,2,-0.5
219,70,2, 1
218,6346,2,-1
218,62,2, 1
218,2244,2,-1
209,70,4,-1
207,50,1, 1
203,56,4,-1
201,50,2,-0.5
199,79,2, 1
199,70,1, 1
197,56,2, 1
194,111,2,-0.5
192,22615,250,
192,1999,2,-1
185,22615,4, 2
181,79,4,-1
181,7123,2,-1
180,99,2,-1
179,62,2,-2
168,56,0,-1
168,125,2,-0.5
167,1781,2,-1
166,88,2, 1
164,3173,250, 2
163,79,1, 1
161,22615,1000,
161,62,0,-1
159,7996,2,-1
158,22615,8,-2
157,50,4,-1
155,56,2,-2
154,2827,250, 2
152,50,2, 1
151,111,2,-1
150,22615,500,
149,56,2, 2
148,88,4,-1
148,8975,2,-1
148,22615,4,-2
145,3173,250,-2
143,99,2, 1
143,140,2,-0.5
141,5037,1,-1
140,62,2, 2
140,111,2, 1
140,20148,4, 2
139,3562,250, 2
139,125,2, 1
139,1587,2,-1
138,50,2,-2
137,10074,2,-1
135,4487,1,-1
135,50,0,-1
134,2827,250,-2
133,3562,4,-1
133,62,4,-2
132,3998,4,-1
131,3173,250, 1
131,2244,4,-1
130,5654,1,-1
130,70,4, 1
130,125,2,-1
129,88,1, 1
129,62,0,-0.5
129,1999,4,-1
129,62,4, 1
129,2827,250, 1
128,5654,250, 2
128,140,2, 1
128,3173,4,-1
128,2518,4,-1
127,56,0,-0.5
127,5654,500, 2
126,62,4, 2
125,2827,4,-1
125,4487,4,-1
125,50,1, 2
124,3562,250,-2
124,70,0,-0.5
123,6346,500, 2
123,99,4,-1
123,79,4, 1
122,3562,250, 1
122,70,0,-1
122,5654,250,-2
121,22615,8, 2
121,157,2,-0.5
121,3998,1,-1
120,157,1,-1
119,6346,250, 2
119,140,2,-1
119,1781,4,-1
118,5037,4,-1
118,177,1,-1
117,56,4, 1
117,5037,1, 1
117,50,0,-0.5
117,70,4,-2
117,157,2,-1
116,70,2,-2
116,5654,500,-2
115,3173,125, 2
115,88,4, 1
115,56,4, 2
115,4487,1, 1
114,1999,8,-1
114,5654,4,-1
114,6346,4,-1
114,3173,4, 1
114,6346,500,-2
113,177,2,-1
113,79,0,-0.5
113,7123,4,-1
113,1781,8,-1
113,11308,2,-1
112,2827,4, 1
112,2518,250, 2
112,3173,250,-1
112,140,1,-1
112,157,2, 1
112,1781,4,-2
111,99,4, 1
111,111,4,-1
111,3998,1, 1
110,2827,250,-1
110,2827,125, 2
109,6346,250,-2
109,3562,4, 1
109,6346,1,-1
109,5654,1, 1
109,5037,250,-2
108,3998,250, 1
108,5037,250, 2
108,3562,1, 1
108,157,4,-1
108,7996,4,-1
108,111,4, 1
107,1413,2,-1
107,7123,8, 1
107,3562,250,-1
107,70,4,-0.5
107,140,4,-1
107,125,4,-1
106,99,1, 1
106,2518,250, 1
106,3998,250, 2
106,3173,125,-2
106,79,4,-0.5
105,62,4,-0.5
105,2244,8,-1
105,125,1,-1
104,3562,1,-1
104,7996,8, 1
104,6346,8, 1
104,5654,4, 1
103,2518,4, 1
103,198,2,-1
103,177,4,-1
103,3998,4, 1
103,177,2,-0.5
102,1781,8,-2
102,6346,4, 1
102,88,4,-0.5
101,20148,4,-2
101,1587,8,-1
101,70,2, 2
101,5037,4, 1
101,3173,1, 1
101,8975,4,-1
101,125,4, 1
101,56,4,-0.5
100,3998,250,-1
100,88,0,-0.5
100,4487,250, 1
100,198,1,-1
100,1587,4,-1
100,50,2, 2
100,20148,4, 1
99,4487,4, 1
99,8975,8, 1
98,20148,8,-1
98,70,4, 2
98,2827,125,-2
98,111,1,-1
98,5037,250, 1
98,56,4,-2
98,5037,500, 2
98,3562,125, 2
97,5654,8, 1
97,2518,250,-2
97,1999,4,-2
97,7123,4, 1
97,177,2, 1
97,4487,250,-1
96,70,1,-1
96,3998,250,-2
96,99,4,-0.5
96,5037,250,-1
95,62,1,-0.5
95,5654,250, 1
95,6346,1, 1
95,17950,4, 1
95,111,1, 1
95,10074,4,-1
95,79,1,-1
95,22615,8,-1
94,1413,8,-0.5
94,2827,8, 1
94,70,1,-0.5
93,50,4, 1
93,20148,8,-2
93,4487,250, 2
93,5654,250,-1
93,11308,4, 1
93,3173,8, 1
93,56,1,-0.5
93,2518,8,-1
92,99,1,-1
92,198,4,-1
92,50,4,-2
92,10074,8, 1
92,50,4,-0.5
92,62,1,-1
92,5037,8, 1
92,88,1,-1
91,2518,250,-1
91,1587,8,-0.5
91,2244,4, 1
91,5037,500,-2
91,1259,8,-0.5
91,2518,125, 2
91,12692,4, 1
90,1587,125,-2
90,2518,8, 1
90,111,4,-0.5
90,7996,4, 1
90,1781,125,-2
89,140,4, 1
89,10074,4, 1
89,7123,1,-1
89,4487,250,-2
89,3173,1,-1
88,7123,500, 2
88,6346,250, 1
88,3562,8, 1
88,79,8,-2
88,125,1, 1
88,11308,4,-1
88,79,1,-0.5
88,6346,500, 1
87,2244,8, 1
87,8975,4, 1
87,50,1, 0.5
87,198,2,-0.5
87,5654,500, 1
87,223,2,-1
87,3173,2,-2
86,1999,8, 1
86,99,0,-0.5
86,17950,8,-1
86,2827,1, 1
86,3562,125,-2
86,4487,8, 1
86,6346,250,-1
86,7123,1, 1
85,22615,4, 1
85,15991,4, 1
85,1999,8,-2
85,50,1,-0.5
85,14247,4, 1
84,1781,8, 2
84,3998,8, 1
84,70,8,-2
84,3998,8,-1
84,125,4,-0.5
84,2827,125, 1
84,3173,125, 1
84,11308,8, 1
84,1781,8,-0.5
