337668,2518,,
86835,2827,,
44568,2244,2,
30501,2244,0,
29447,3562,2,
20420,3562,0,
20217,2244,1,
18078,2244,4,
16226,2244,,
13648,3562,1,
12140,3562,4,
8121,2244,8,
7812,1413,2,
5766,1413,0,
5400,3562,8,
4869,2518,2, 2
4282,2518,2,-2
4213,1413,1,
4145,2244,16,
4007,2518,0,-2
3610,2518,0, 2
3528,2518,2, 1
3323,2827,2, 1
3319,2827,2, 2
3213,1413,4,
3181,2518,2,-1
3129,2518,1,-2
2981,2244,2, 1
2965,2827,2,-1
2896,2244,2, 2
2867,2244,2,-2
2731,2244,2,-1
2729,2518,1, 2
2683,3562,16,
2678,5654,2,
2671,2827,2,-2
2613,5654,0,
2565,2518,0,-1
2564,2244,63,
2558,2244,0,-2
2478,2244,31,
2415,3173,2, 1
2400,2827,0,-2
2367,2827,0,-1
2330,5654,1,
2305,2518,0, 1
2269,2244,0, 2
2204,2244,0,-1
2169,2244,125,
2149,2827,0, 1
2139,3173,2,-1
2137,2827,0, 2
2113,140,1,
2095,2518,4, 2
2016,2518,4,-2
2009,2827,1,-2
1973,2244,0, 1
1952,140,0,
1925,88,0,
1890,2244,1,-2
1875,88,1,
1864,223,1,
1858,1999,2, 1
1811,2518,1,-1
1750,223,0,
1732,1999,2,-1
1717,2827,1, 2
1674,3173,0,-1
1668,2827,1,-1
1650,2244,1, 2
1632,3562,63,
1577,3562,31,
1576,2518,1, 1
1552,2244,1,-1
1542,3173,0, 1
1502,1413,8,
1468,2518,4, 1
1457,2827,1, 1
1427,353,0,
1421,353,1,
1421,2827,4, 2
1394,1999,0,-1
1393,2518,4,-1
1389,3562,125,
1382,2827,4, 1
1354,2244,1, 1
1322,2827,4,-2
1302,2827,4,-1
1294,561,0,
1291,2244,4,-2
1281,2244,4, 2
1268,561,1,
1268,2518,2, 0.5
1250,2827,2, 0.5
1242,1999,0, 1
1240,2244,4, 1
1234,3562,2, 1
1215,2244,2, 0.5
1208,177,,
1198,890,0,
1195,5654,4,
1194,2518,2,-0.5
1186,2244,4,-1
1176,2827,2,-0.5
1173,890,1,
1170,3173,1,-1
1160,88,,
1159,3173,2, 0.5
1149,2244,2,-0.5
1121,3173,,
1091,3173,2,-0.5
1090,1999,2, 0.5
1085,3562,2,-1
1035,1999,2,-0.5
1031,3173,1, 1
1005,3173,4, 1
1000,3562,2, 0.5
984,1999,1,-1
982,3173,2, 2
973,62,,
941,3173,4,-1
940,3562,2,-0.5
904,1781,2, 0.5
887,2518,8,-2
878,2518,0,-0.5
875,2518,8, 2
863,2827,0,-0.5
860,1999,1, 1
859,1781,2,-0.5
848,88,2,
845,2244,0,-0.5
837,140,2,
826,3562,0,-1
819,7996,,
816,2518,0, 0.5
810,3173,2,-2
803,2827,0, 0.5
800,707,,
799,3173,0,-0.5
790,3998,2, 0.5
786,1781,2, 1
783,2244,0, 0.5
772,1999,4, 1
772,3562,0, 1
